Latitude,Longitude,125Fd,141ETR,143GSL,144HWDI,191Tx10,192Tx90,193Tn10,194Tn90,606R10,641CDD,644R5D,646SDII,695R95T,001TxGE,002TxLE,003TnGE,004TnLE,101AnnP,102GDD5,103GDD10,104GDD0,106Prcp20,107Prcp25,108Prcp10,109GSL_B,110GSL_E
50.8519,-112.2676,-0.138888889,-0.012466313,0.25,0.35,-0.056545052,0.075342464,-0.042331314,0.119863021,0,-0.094044811,0.060681772,-0.010257298,0.001167751,0.125,-0.381176471,0.214285714,-0.138888889,-0.032796396,1.135178559,0.86322556,3.405059345,0,0,0,-0.237229437,0
50.6387,-120.7649,-0.434782609,-0.083896633,0.387992832,0.096399535,-0.081177067,0.081821546,-0.144396382,0.205479515,0.038461538,-0.040833333,0.05242933,-0.000706846,0.105037779,0.111111111,-0.314285714,0.085714286,-0.434782609,0.532903095,3.332690811,1.585920722,5.18213623,0,0,0.038461538,-0.162899263,0.225806452
50.6116,-119.1024,-0.4,-0.089040038,0.152680653,0,-0.059133846,0.013698626,-0.127527708,0.171631087,0.032795699,-0.041666667,0.015088215,-0.008896114,0.035592079,0.055555556,-0.194783198,0,-0.4,0.2118983,2.260474941,1.19836191,2.638963995,0,0,0.032795699,-0.090909091,0.029857398
50.6258,-114.9649,-0.7,-0.209890056,0.363636364,-0.21875,-0.0608828,-0.082606925,-0.219178033,0.251141553,-0.043478261,-0.02173913,-0.151562572,-0.027817602,-0.062787362,0,0.273863636,0.518518519,-0.7,0.072867499,1.728373464,0.61789705,3.911138416,-0.022727273,0,-0.043478261,-0.176470588,0.266666667
50.5646,-110.2816,-0.204415954,-0.053004606,0.285714286,0.242833743,-0.044427994,0.086517667,-0.09132417,0.126901046,0,-0.172745358,-0.020183493,-0.01491098,0.011008748,0.151086957,-0.279069767,0.230769231,-0.204415954,0.127477611,1.864804707,1.080694128,3.527142693,0,0,0,-0.290322581,0
50.4347,-111.9755,-0.142857143,-0.050749517,0.25,0.428571429,-0.063469496,0.06849316,-0.060407148,0.112812267,0,-0.095556908,-0.00781669,-0.012628962,-0.078271025,0.083333333,-0.360555556,0.210526316,-0.142857143,-0.393220144,1.450183841,0.741415321,3.266896625,0,0,0,-0.25,0
50.8082,-116.0754,-0.4375,-0.152678626,-0.041276596,-0.307692308,0,-0.091324194,-0.191780814,0.159817348,0,-0.031280547,-0.056520907,-0.019179563,-0.014527086,0,0.25,0.333333333,-0.4375,1.798422562,-0.10271136,-0.335384184,-1.030408393,0,0,0,-0.03030303,-0.096006144
50.6932,-118.696,-0.436698718,-0.123965892,0.08452381,-0.107625483,-0.020684534,0,-0.211538477,0.259552981,0.222222222,-0.076923077,0.278556921,0.001534797,0.250482303,0.035759898,0,0.06936648,-0.436698718,3.379094382,1.457267485,0.036367827,0.941947654,0.022222222,0,0.222222222,-0.054093567,0.010869565
50.8597,-111.5396,-0.137147335,-0.034332051,0.25,0.380131363,-0.050735668,0.09132417,-0.054794502,0.136986256,0,-0.173494983,0.096526594,-0.015936343,-0.016665155,0.152680653,-0.363636364,0.235294118,-0.137147335,0.146761721,1.902178165,1.067427664,3.603346651,0,0,0,-0.238612836,0.031754032
50.6662,-111.6195,-0.192307692,-0.033753493,0.25,0.4,-0.056298372,0.09132417,-0.057210366,0.136986324,0,-0.090909091,0.095784318,-0.016358731,-0.036077213,0.148542159,-0.340909091,0.239047619,-0.192307692,-0.113815026,1.890271505,1.123171072,3.724759189,0,0,0,-0.255813953,0
50.4224,-111.3924,-0.161726242,-0.046622661,0.232051282,0.333333333,-0.043723986,0.076103522,-0.054794502,0.125570774,-0.02173913,-0.041666667,0.002725651,-0.013121256,-0.057066302,0.107919255,-0.318665377,0.214285714,-0.161726242,-0.283463496,1.315044889,0.6216863,3.187543304,0,0,-0.02173913,-0.222222222,0
50.5759,-116.858,-0.177521008,-0.052718896,0.070197044,-0.044466403,-0.027748498,0.045662006,-0.080878641,0.120814267,0.076923077,-0.065942029,0.071902169,-0.018178011,0.129317378,0.08,0,0.081356867,-0.177521008,1.452158292,0.877187691,0.330457514,0.899188726,0,0,0.076923077,0.02487715,0.075
